species,image_url
"Black-winged Kite
",https://inaturalist-open-data.s3.amazonaws.com/photos/4939/small.jpg
"African Fish Eagle
",https://inaturalist-open-data.s3.amazonaws.com/photos/32106/small.jpg
"Crowned Hawk-Eagle
",https://inaturalist-open-data.s3.amazonaws.com/photos/734476/small.jpg
"Honey Buzzard
",https://inaturalist-open-data.s3.amazonaws.com/photos/8970/small.jpg
"Long-crested Eagle
",https://inaturalist-open-data.s3.amazonaws.com/photos/33149/small.jpg
"Dark Chanting-Goshawk
",https://inaturalist-open-data.s3.amazonaws.com/photos/188597/small.jpg
"Eastern Chanting-Goshawk
",https://inaturalist-open-data.s3.amazonaws.com/photos/33623/small.jpg
"Martial Eagle
",https://inaturalist-open-data.s3.amazonaws.com/photos/8648/small.jpg
"Egyptian Vulture
",https://inaturalist-open-data.s3.amazonaws.com/photos/6572/small.jpg
"White-backed Vulture
",https://inaturalist-open-data.s3.amazonaws.com/photos/7899/small.jpg
"Rueppell's Griffon
",https://inaturalist-open-data.s3.amazonaws.com/photos/782496/small.jpg
"Grasshopper Buzzard
",https://inaturalist-open-data.s3.amazonaws.com/photos/782487/small.jpg
"Lammergeier
",https://inaturalist-open-data.s3.amazonaws.com/photos/135778/small.jpg
"White-headed Vulture
",https://inaturalist-open-data.s3.amazonaws.com/photos/43728/small.jpg
"Bat Hawk
",https://inaturalist-open-data.s3.amazonaws.com/photos/669069/small.jpg
"Palm-nut Vulture
",https://inaturalist-open-data.s3.amazonaws.com/photos/78389/small.jpg
"Hooded Vulture
",https://inaturalist-open-data.s3.amazonaws.com/photos/8078/small.jpg
"Scissor-tailed Kite
",https://inaturalist-open-data.s3.amazonaws.com/photos/149425/small.jpg
"Lizard Buzzard
",https://inaturalist-open-data.s3.amazonaws.com/photos/795373/small.jpg
"Kori Bustard
",https://inaturalist-open-data.s3.amazonaws.com/photos/224407/small.jpg
"Stanley Bustard
",https://inaturalist-open-data.s3.amazonaws.com/photos/188787/small.jpg
"Heuglin's Bustard
",https://inaturalist-open-data.s3.amazonaws.com/photos/644832/small.jpg
"White-bellied Bustard
",https://inaturalist-open-data.s3.amazonaws.com/photos/33617/small.jpg
"Red-footed Booby
",https://inaturalist-open-data.s3.amazonaws.com/photos/6950/small.jpg
"Cape Gannet
",https://inaturalist-open-data.s3.amazonaws.com/photos/232453/small.jpg
"Great Cormorant
",https://inaturalist-open-data.s3.amazonaws.com/photos/6576/small.jpg
"African Darter
",https://inaturalist-open-data.s3.amazonaws.com/photos/6178/small.jpg
"Ethiopian Swallow
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"Angola Swallow
",https://inaturalist-open-data.s3.amazonaws.com/photos/217669/small.jpg
"Blue Swallow
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"Barn Swallow
",https://inaturalist-open-data.s3.amazonaws.com/photos/284814/small.jpg
"Wire-tailed Swallow
",https://inaturalist-open-data.s3.amazonaws.com/photos/54291/small.jpg
"Banded Martin
",https://inaturalist-open-data.s3.amazonaws.com/photos/22754/small.jpg
"Plain Martin
",https://inaturalist-open-data.s3.amazonaws.com/photos/188580/small.jpg
"Bank Swallow
",https://inaturalist-open-data.s3.amazonaws.com/photos/7767/small.jpg
"White-headed Sawwing
",https://inaturalist-open-data.s3.amazonaws.com/photos/217671/small.jpg
"Black Sawwing
",https://inaturalist-open-data.s3.amazonaws.com/photos/188581/small.jpg
"Long-tailed Fiscal
",https://inaturalist-open-data.s3.amazonaws.com/photos/217677/small.jpg
"Common Fiscal
",https://inaturalist-open-data.s3.amazonaws.com/photos/22584/small.jpg
"Red-backed Shrike
",https://inaturalist-open-data.s3.amazonaws.com/photos/5961/small.jpg
"Teita Fiscal
",https://inaturalist-open-data.s3.amazonaws.com/photos/217674/small.jpg
"Gray-backed Fiscal
",https://inaturalist-open-data.s3.amazonaws.com/photos/767825/small.jpg
"Rufous-tailed Shrike
",https://inaturalist-open-data.s3.amazonaws.com/photos/782574/small.jpg
"Mackinnon's Shrike
",https://inaturalist-open-data.s3.amazonaws.com/photos/91997/small.JPG
"Woodchat Shrike
",https://inaturalist-open-data.s3.amazonaws.com/photos/41749/small.jpg
"Somali Fiscal
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"Yellow-billed Shrike
",https://inaturalist-open-data.s3.amazonaws.com/photos/8047/small.jpg
"White-rumped Shrike
",https://inaturalist-open-data.s3.amazonaws.com/photos/217680/small.jpg
"Cape Robin-Chat
",https://inaturalist-open-data.s3.amazonaws.com/photos/107300/small.jpg
"Blue-shouldered Robin-Chat
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"White-browed Robin-Chat
",https://inaturalist-open-data.s3.amazonaws.com/photos/25749/small.jpg
"Red-capped Robin-Chat
",https://inaturalist-open-data.s3.amazonaws.com/photos/166024/small.jpg
"Snowy-crowned Robin-Chat
",https://inaturalist-open-data.s3.amazonaws.com/photos/90503/small.jpg
"Gray-winged Robin-Chat
",https://inaturalist-open-data.s3.amazonaws.com/photos/773826/small.jpg
"Rueppell's Robin-Chat
",https://inaturalist-open-data.s3.amazonaws.com/photos/641541/small.jpg
"African Gray Flycatcher
",https://inaturalist-open-data.s3.amazonaws.com/photos/217681/small.jpg
"Pale Flycatcher
",https://inaturalist-open-data.s3.amazonaws.com/photos/90507/small.jpg
"Red-breasted Wheatear
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
